Size	BST	Trie	BTree
3	0.024	0.0313	0.012
3	0.026	0.0223	0.016
9	0.08	0.0849	0.048
20	0.162	0.132	0.08
30	0.257	0.184	0.093
40	0.274	0.234	0.125
58	0.363	0.36	0.205
68	0.45	0.363	0.261
73	0.481	0.386	0.294
81	0.533	0.453	0.341
99	0.668	0.467	0.415
112	0.779	0.576	0.505
115	0.846	0.588	0.513
124	0.903	0.694	0.617
130	0.966	0.798	0.631
137	1.026	0.778	0.639
143	1.028	0.847	0.746
154	1.039	0.857	0.807
177	1.183	0.922	0.817
207	1.211	0.961	0.921
221	1.362	1.103	0.916
312	1.886	1.252	1.103
331	2.036	1.694	1.478
434	2.594	1.941	1.673
